date,values
1779-09,192.9
1779-10,188
1779-11,182.3
1779-12,178.2
1780-01,172.5
1780-02,166.7
1780-03,163.7
1780-04,159.2
1780-05,152.2
1780-06,144.9
1780-07,143.3
1780-08,143.7
1780-09,139
1780-10,134
1780-11,131.9
1780-12,132.4
1781-01,132.2
1781-02,130
1781-03,125.6
1781-04,119.2
1781-05,116.3
1781-06,115.1
1781-07,110.4
1781-08,104.7
1781-09,101
1781-10,98
1781-11,92.6
1781-12,85
1782-01,78.3
1782-02,74.2
1782-03,71.5
1782-04,70
1782-05,67.3
1782-06,64.5
1782-07,62.3
1782-08,60.6
1782-09,59.9
1782-10,58.3
1782-11,55.3
1782-12,52.2
1783-01,51
1783-02,49
1783-03,46.2
1783-04,44.1
1783-05,41.9
1783-06,39.4
1783-07,37
1783-08,33.8
1783-09,30.6
1783-10,28.2
1783-11,25.7
1783-12,23.4
1784-01,20.5
1784-02,18
1784-03,16.7
1784-04,16.2
1784-05,16.3
1784-06,16.7
1784-07,16.5
1784-08,16
1784-09,15.9
1784-10,16.2
1784-11,17.6
1784-12,19.8
1785-01,23.1
1785-02,25.9
1785-03,28.1
1785-04,32.4
1785-05,36.7
1785-06,39.2
1785-07,42.3
1785-08,47.2
1785-09,52.6
1785-10,60.1
1785-11,69.9
1785-12,77.2
1786-01,82.7
1786-02,90.8
1786-03,101.1
1786-04,111.2
1786-05,121
1786-06,132.2
1786-07,144.9
1786-08,155.7
1786-09,162.5
1786-10,168.2
1786-11,174
1786-12,179.8
1787-01,185.7
1787-02,192.1
1787-03,198.6
1787-04,204.9
1787-05,209.8
1787-06,215.8
1787-07,220.3
1787-08,222.1
1787-09,227.6
1787-10,230.2
1787-11,227.4
1787-12,229.7
1788-01,234.4
1788-02,235.3
1788-03,234.1
1788-04,231.9
1788-05,227.6
1788-06,221.3
1788-07,216.5
1788-08,214.6
1788-09,212.7
1788-10,212.1
1788-11,213.8
1788-12,212.2
1789-01,208.1
1789-02,204.1
1789-03,199.8
1789-04,194.2
1789-05,193.3
1789-06,196.4
1789-07,196.1
1789-08,195.5
1789-09,194
1789-10,190.3
1789-11,186.1
1789-12,182
1790-01,176.7
1790-02,172.3
1790-03,168.7
1790-04,166
1790-05,162
1790-06,154.1
1790-07,147.7
1790-08,141.1
1790-09,135
1790-10,132.2
1790-11,129.7
1790-12,126.5
1791-01,124.8
1791-02,121.9
1791-03,118.1
1791-04,115.7
1791-05,113.1
1791-06,111.5
1791-07,109.9
1791-08,109.1
1791-09,108.4
1791-10,107.6
1791-11,106.7
1791-12,105.6
1792-01,103.7
1792-02,103.1
1792-03,103.7
1792-04,103
1792-05,102.2
1792-06,100.8
1792-07,99.9
1792-08,99.2
1792-09,98
1792-10,95.9
1792-11,93.7
1792-12,92.3
1793-01,91.9
1793-02,90.1
1793-03,85.5
1793-04,82.2
1793-05,80.5
1793-06,78.9
1793-07,77.4
1793-08,75.9
1793-09,73.9
1793-10,71
1793-11,69.5
1793-12,69.1
1794-01,67.8
1794-02,67.9
1794-03,67.7
1794-04,65.6
1794-05,65.9
1794-06,67.9
1794-07,66.7
1794-08,64.8
1794-09,62.7
1794-10,60.3
1794-11,57.9
1794-12,54.5
1795-01,50.8
1795-02,47.9
1795-03,47.1
1795-04,46.6
1795-05,43
1795-06,37.8
1795-07,35.5
1795-08,34.4
1795-09,33.5
1795-10,34.6
1795-11,34.9
1795-12,33.4
1796-01,33.7
1796-02,33
1796-03,31.6
1796-04,31.4
1796-05,29.6
1796-06,27.6
1796-07,26.2
1796-08,24.3
1796-09,22.1
1796-10,19.4
1796-11,16.5
1796-12,15.9
1797-01,14.6
1797-02,13.3
1797-03,12.8
1797-04,11.6
1797-05,11.1
1797-06,10.8
1797-07,9.8
1797-08,8.9
1797-09,9.5
1797-10,9.9
1797-11,9.2
1797-12,7.9
1798-01,6.8
1798-02,6.3
1798-03,5.9
1798-04,5.3
1798-05,5.4
1798-06,6.3
1798-07,6.7
1798-08,7.3
1798-09,8.6
1798-10,9.7
1798-11,10.8
1798-12,12.1
1799-01,13
1799-02,12.9
1799-03,12.5
1799-04,12.6
1799-05,12.1
1799-06,11.4
1799-07,11.6
1799-08,11.8
1799-09,11
1799-10,9.9
1799-11,9.1
1799-12,9.8
1800-01,12
1800-02,14.6
1800-03,16.8
1800-04,18.1
1800-05,19.2
1800-06,21.9
1800-07,25.5
1800-08,28.3
1800-09,30.8
1800-10,34
1800-11,38.1
1800-12,40.5
1801-01,42
1801-02,44.3
1801-03,47.1
1801-04,50.1
1801-05,53.5
1801-06,56.1
1801-07,58.1
1801-08,60.8
1801-09,62.8
1801-10,64.3
1801-11,65.9
1801-12,67.8
1802-01,69.7
1802-02,71.4
1802-03,73.4
1802-04,75.1
1802-05,75.2
1802-06,74.9
1802-07,75.2
1802-08,75.6
1802-09,75.1
1802-10,73.1
1802-11,72
1802-12,71.3
1803-01,70.6
1803-02,69.5
1803-03,68
1803-04,68.6
1803-05,70.9
1803-06,71.9
1803-07,71.4
1803-08,70.9
1803-09,72
1803-10,75.1
1803-11,76.1
1803-12,75.3
1804-01,73.9
1804-02,73.3
1804-03,74.4
1804-04,75.5
1804-05,76.7
1804-06,78.3
1804-07,80.2
1804-08,81
1804-09,80.9
1804-10,80.3
1804-11,79.8
1804-12,80.5
1805-01,81.5
1805-02,82
1805-03,81.4
1805-04,78.5
1805-05,74.8
1805-06,71.9
1805-07,68.9
1805-08,66.3
1805-09,64
1805-10,62.1
1805-11,60.5
1805-12,58.6
1806-01,57
1806-02,55.4
1806-03,52.8
1806-04,51.2
1806-05,49.9
1806-06,47.8
1806-07,45
1806-08,41.9
1806-09,39.1
1806-10,37.2
1806-11,35.8
1806-12,33.7
1807-01,31.6
1807-02,29.4
1807-03,27.1
1807-04,24.5
1807-05,21.6
1807-06,18.4
1807-07,15.9
1807-08,14.6
1807-09,13.4
1807-10,11.9
1807-11,11.3
1807-12,11.7
1808-01,11.4
1808-02,10.7
1808-03,10.8
1808-04,11
1808-05,11.3
1808-06,12.7
1808-07,14.1
1808-08,14.9
1808-09,15.3
1808-10,14.7
1808-11,13.2
1808-12,12
1809-01,11.1
1809-02,10.1
1809-03,8.8
1809-04,7.7
1809-05,6.7
1809-06,5.1
1809-07,3.7
1809-08,2.6
1809-09,1.9
1809-10,1.6
1809-11,1.3
1809-12,0.7
1810-01,0.1
1810-02,0.1
1811-01,0.5
1811-02,0.9
1811-03,1.1
1811-04,1.7
1811-05,2.2
1811-06,2.3
1811-07,3.1
1811-08,4.1
1811-09,4.2
1811-10,4.3
1811-11,4.4
1811-12,4.5
1812-01,4.2
1812-02,4.9
1812-03,6.1
1812-04,6.2
1812-05,6.5
1812-06,7.6
1812-07,7.5
1812-08,7.3
1812-09,7.9
1812-10,9.2
1812-11,10.6
1812-12,11.6
1813-01,13.6
1813-02,14.3
1813-03,14.5
1813-04,16.9
1813-05,19.1
1813-06,20
1813-07,21.9
1813-08,23.5
1813-09,23.9
1813-10,24.7
1813-11,25.2
1813-12,25.5
1814-01,25.7
1814-02,25.3
1814-03,24.4
1814-04,23.3
1814-05,22.6
1814-06,22.8
1814-07,23
1814-08,24.2
1814-09,27
1814-10,29
1814-11,29.8
1814-12,33
1815-01,37
1815-02,41.3
1815-03,46
1815-04,48.6
1815-05,51.2
1815-06,55.9
1815-07,59.5
1815-08,62.5
1815-09,68.4
1815-10,73.6
1815-11,77.8
1815-12,79.4
1816-01,78.8
1816-02,77.3
